fips,land_area,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
01001,594.4,34.1,37.0,43.9,49.7,58.7,66.1,69.6,68.8,63.5,51.3,42.1,36.5
01003,1589.8,39.5,42.2,48.7,54.5,62.4,69.0,71.7,71.1,67.1,55.9,47.4,41.9
01005,884.9,35.7,38.7,45.3,51.2,59.8,67.0,69.9,69.2,64.5,53.1,44.2,38.1
01007,622.6,32.1,35.3,42.3,48.5,57.3,65.0,68.9,67.9,62.4,50.1,41.0,35.0
01009,644.8,30.4,33.4,40.4,46.9,56.0,63.6,67.7,66.7,60.6,48.4,39.7,33.1
01011,622.8,34.7,37.7,44.3,50.3,58.9,66.3,69.5,68.7,63.9,52.2,43.5,37.1
01013,776.8,34.6,37.4,44.2,50.1,58.6,65.7,69.0,68.3,63.6,51.7,42.8,37.1
01015,605.9,30.8,33.4,40.6,46.8,55.6,63.6,67.8,66.6,60.4,48.0,39.5,33.4
01017,596.5,31.5,33.8,40.9,47.0,55.5,63.5,67.4,66.5,61.0,48.9,40.2,34.0
01019,553.7,30.2,32.9,40.3,46.7,55.7,63.6,67.8,66.5,60.4,47.9,39.2,32.8
01021,692.8,32.5,35.4,42.4,48.2,56.9,64.6,68.4,67.3,61.9,49.7,40.8,35.0
01023,913.5,34.5,37.5,44.2,50.4,59.1,66.5,70.0,69.0,63.8,51.1,42.3,36.9
01025,1238.5,35.5,38.4,45.0,50.8,59.4,66.6,69.8,69.1,64.2,51.8,43.0,37.8
01027,604.0,30.7,33.2,40.3,46.3,54.7,62.3,66.2,65.1,59.5,47.6,39.4,33.3
01029,560.1,29.9,32.3,39.6,45.7,54.1,62.1,66.4,65.2,59.2,46.9,38.6,32.6
01031,679.0,36.2,39.1,45.8,51.4,60.0,66.9,69.9,69.2,64.7,53.3,44.7,38.7
01033,592.6,28.5,31.8,39.2,46.0,55.2,63.3,67.4,65.7,59.5,46.9,38.3,31.7
01035,850.2,35.8,38.5,45.2,50.7,59.2,66.4,69.8,69.0,64.3,52.2,43.4,38.3
01037,650.9,32.2,34.9,41.9,47.7,56.2,63.8,67.7,66.6,61.1,49.2,40.6,34.7
01039,1030.5,36.0,38.6,45.3,50.9,59.4,66.4,69.5,68.9,64.5,52.6,44.0,38.2
01041,608.8,34.3,37.2,44.0,50.0,58.4,65.5,68.7,68.0,63.4,51.6,42.8,36.7
01043,734.8,29.6,32.7,39.8,46.6,55.5,63.3,67.3,66.3,60.1,47.9,39.2,32.5
01045,561.2,37.3,40.2,46.8,52.4,60.8,67.7,70.5,69.9,65.3,54.2,45.6,39.6
01047,978.7,35.2,38.3,44.9,50.6,59.5,66.9,70.3,69.4,64.3,52.0,42.9,37.6
01049,777.1,29.4,32.4,39.8,46.4,55.1,62.7,66.6,65.4,59.4,47.5,39.2,32.3
01051,618.5,33.7,36.5,43.4,49.2,58.1,65.6,69.3,68.4,63.2,51.1,42.1,36.2
01053,945.1,37.1,39.6,46.3,51.7,59.9,67.0,70.1,69.4,64.9,53.0,44.5,39.4
01055,535.0,30.9,33.8,41.1,47.4,56.4,64.2,68.2,67.0,60.8,48.7,40.0,33.6
01057,627.7,31.3,34.5,41.4,47.4,56.8,64.7,68.6,67.5,61.8,49.0,40.3,33.9
01059,633.8,29.0,32.3,39.6,46.1,55.3,63.2,67.2,65.7,59.7,47.2,38.7,31.9
01061,574.4,37.3,40.1,46.9,52.5,60.9,67.7,70.5,69.9,65.7,54.1,45.8,39.6
01063,647.1,33.6,36.6,43.9,50.1,59.2,66.8,70.5,69.5,63.9,51.0,42.0,36.1
01065,643.9,33.8,36.8,43.8,49.9,59.1,66.5,70.2,69.3,63.8,51.3,42.1,36.4
01067,561.8,37.6,40.4,47.0,52.7,61.2,68.0,70.8,70.1,65.5,54.5,45.8,39.7
01069,579.8,38.6,41.2,47.9,53.4,61.9,68.5,71.3,70.7,66.3,55.2,46.6,40.6
01071,1077.9,29.1,32.2,39.6,46.5,55.3,63.0,67.0,65.7,59.7,47.7,39.1,32.0
01073,1111.3,31.7,34.6,41.6,47.7,57.0,64.8,69.0,68.1,62.1,49.6,40.5,34.5
