fips,land_area
"01001",594.44
"01003",1589.78
"01005",884.88
"01007",622.58002
"01009",644.78003
"01011",622.79999
"01013",776.83002
"01015",605.87
"01017",596.53003
"01019",553.70001
"01021",692.84998
"01023",913.5
"01025",1238.46
"01027",603.96002
"01029",560.09998
"01031",678.96997
"01033",592.62
"01035",850.15997
"01037",650.92999
"01039",1030.46
"01041",608.84003
"01043",734.84003
"01045",561.15002
"01047",978.69
"01049",777.09003
"01051",618.47998
"01053",945.08002
"01055",534.98999
"01057",627.65997
"01059",633.82001
"01061",574.40997
"01063",647.10999
"01065",643.94
"01067",561.75
"01069",579.82001
"01071",1077.87
"01073",1111.28
"01075",604.84998
"01077",667.70001
"01079",690.67999
"01081",607.53998
"01083",559.94
"01085",715.90997
"01087",608.89001
"01089",801.59003
"01091",976.88
"01093",742.28998
"01095",565.84003
"01097",1229.4399
"01099",1025.67
"01101",784.25
"01103",579.34003
"01105",719.65997
"01107",881.40997
"01109",672.09003
"01111",580.54999
"01113",641.14001
"01115",631.90002
"01117",784.92999
"01119",903.89001
"01121",736.78003
"01123",716.52002
"01125",1321.75
"01127",791.19
"01129",1080.21
"01131",888.5
"01133",612.97998
"04001",11197.52
"04003",6165.6899
"04005",18618.891
"04007",4757.9302
"04009",4622.6001
"04011",1843.13
"04012",4499.6299
"04013",9200.1396
"04015",13311.08
"04017",9950.4199
"04019",9187.04
"04021",5365.6099
"04023",1236.92
"04025",8123.5
"04027",5513.9902
"05001",988.77002
"05003",925.34998
"05005",554.28003
"05007",847.35999
"05009",590.22998
"05011",649.22998
"05013",628.58002
"05015",630.09003
"05017",644.29999
"05019",866.07001
"05021",639.46002
"05023",553.69
"05025",597.78003
"05027",766.04999
"05029",552.25
"05031",707.21002
"05033",593.09003
"05035",609.76001
"05037",616.38
"05039",667.39001
"05041",768.15002
"05043",828.35999
"05045",647.88
"05047",608.85999
"05049",618.19
"05051",677.78003
"05053",631.81
"05055",577.70001
"05057",727.52002
"05059",615.20001
"05061",588.54999
"05063",763.95001
"05065",580.58002
"05067",633.94
"05069",870.75
"05071",659.79999
"05073",528.27002
"05075",587.60999
"05077",602.62
"05079",561.52002
"05081",532.25
"05083",708.12
"05085",770.72998
"05087",834.26001
"05089",597.01001
"05091",625.58002
"05093",900.57001
"05095",607.12
"05097",779.88
"05099",617.84003
"05101",820.90002
"05103",732.78003
"05105",551.40002
"05107",695.65997
"05109",600.62
"05111",758.39001
"05113",857.67999
"05115",812.54999
"05117",647.96002
"05119",759.76001
"05121",652.19
"05123",634.77002
"05125",723.59998
"05127",892.32001
"05129",666.09003
"05131",531.90997
"05133",565.13
"05135",604.44
"05137",606.40002
"05139",1039.21
"05141",708.14001
"05143",941.96997
"05145",1035.08
"05147",586.78998
"05149",929.97998
"06001",739.02002
"06003",738.33002
"06005",594.58002
"06007",1636.46
"06009",1020.01
"06011",1150.73
"06013",715.94
"06015",1006.37
"06017",1707.88
"06019",5957.9902
"06021",1313.95
"06023",3567.99
"06025",4176.6001
"06027",10180.88
"06029",8131.9199
"06031",1389.42
"06033",1256.46
"06035",4541.1802
"06037",4057.8799
"06039",2137.0701
"06041",520.31
"06043",1448.8199
"06045",3506.3401
"06047",1934.97
"06049",3917.77
"06051",3048.98
"06053",3280.6001
"06055",748.35999
"06057",957.77002
"06059",790.57001
"06061",1407.01
"06063",2553.04
"06065",7206.48
"06067",964.64001
"06069",1388.71
"06071",20056.939
"06073",4206.6299
"06075",46.869999
"06077",1391.3199
"06079",3298.5701
"06081",448.41
"06083",2735.0901
"06085",1290.1
"06087",445.17001
"06089",3775.3999
"06091",953.21002
"06093",6277.8901
"06095",821.76001
"06097",1575.85
"06099",1494.83
"06101",602.40997
"06103",2949.71
"06105",3179.25
"06107",4824.21
"06109",2220.8799
"06111",1843.13
"06113",1014.69
"06115",631.84003
"08001",1167.65
"08003",722.64001
"08005",798.09998
"08007",1350.1801
"08009",2554.97
"08011",1512.86
"08013",726.28998
"08014",33.029999
"08015",1013.4
"08017",1778.28
"08019",395.23001
"08021",1287.39
"08023",1226.95
"08025",787.41998
"08027",738.63
"08029",1142.05
"08031",153
"08033",1067.05
"08035",840.25
"08037",1684.53
"08039",1850.85
"08041",2126.8
"08043",1533.0699
"08045",2947.5601
"08047",149.89999
"08049",1846.33
"08051",3239.1001
"08053",1117.25
"08055",1591
"08057",1613.72
"08059",764.21002
"08061",1767.77
"08063",2160.8201
"08065",376.91
"08067",1692.08
"08069",2596
"08071",4772.6699
"08073",2577.6299
"08075",1838.55
"08077",3328.97
"08079",875.66998
"08081",4743.29
"08083",2029.53
"08085",2240.7
"08087",1280.4301
"08089",1261.96
"08091",541.59003
"08093",2193.8501
"08095",687.92999
"08097",970.70001
"08099",1638.39
"08101",2386.1001
"08103",3220.9299
"08105",911.96002
"08107",2362.03
"08109",3168.52
"08111",387.48999
"08113",1286.61
"08115",548.03998
"08117",608.35999
"08119",557.06
"08121",2518.03
"08123",3987.24
"08125",2364.3999
"09001",624.89001
"09003",735.09998
